policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
119736,FL,CLAY COUNTY,498960,498960,498960,498960,498960,792148.9,0,9979.2,0,0,30.102261,-81.711777,Residential,Masonry,1
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1438163.57,0,0,0,0,30.063936,-81.707664,Residential,Masonry,3
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,190724.4,190724.4,192476.78,0,0,0,0,30.089579,-81.700455,Residential,Wood,1
333743,FL,CLAY COUNTY,0,79520.76,0,0,79520.76,86854.48,0,0,0,0,30.063236,-81.707703,Residential,Wood,3
172534,FL,CLAY COUNTY,0,254281.5,0,254281.5,254281.5,246144.49,0,0,0,0,30.060614,-81.702675,Residential,Wood,1
785275,FL,CLAY COUNTY,0,515035.62,0,0,515035.62,884419.17,0,0,0,0,30.063236,-81.707703,Residential,Masonry,3
995932,FL,CLAY COUNTY,0,19260000,0,0,19260000,20610000,0,0,0,0,30.102226,-81.713882,Commercial,Reinforced Concrete,1
223488,FL,CLAY COUNTY,328500,328500,328500,328500,328500,348374.25,0,16425,0,0,30.102217,-81.707146,Residential,Wood,1
433512,FL,CLAY COUNTY,315000,315000,315000,315000,315000,265821.57,0,15750,0,0,30.118774,-81.704613,Residential,Wood,1
142071,FL,CLAY COUNTY,705600,705600,705600,705600,705600,1010842.56,14112,35280,0,0,30.100628,-81.703751,Residential,Masonry,1
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,831498.3,831498.3,1117791.48,0,0,0,0,30.10216,-81.719444,Residential,Masonry,1
894922,FL,CLAY COUNTY,0,24059.09,0,0,24059.09,33952.19,0,0,0,0,30.095957,-81.695099,Residential,Wood,1
422834,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66755.39,0,0,0,0,30.100073,-81.739822,Residential,Wood,1
582721,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42826.99,0,0,0,0,30.09248,-81.725167,Residential,Wood,1
842700,FL,CLAY COUNTY,0,56135.64,0,0,56135.64,50656.8,0,0,0,0,30.101356,-81.726248,Residential,Wood,1
874333,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,67905.07,0,0,0,0,30.113743,-81.727463,Residential,Wood,1
580146,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66938.9,0,0,0,0,30.121655,-81.732391,Residential,Wood,3
456149,FL,CLAY COUNTY,0,80192.49,0,0,80192.49,86421.04,0,0,0,0,30.109537,-81.741661,Residential,Wood,1
398144,FL,ST  JOHNS COUNTY,66654,66654,66654,66654,66654,121297.48,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
414086,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,116441.74,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
349098,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,59894.36,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
255714,FL,ST  JOHNS COUNTY,1935,1935,1935,1935,1935,1810.05,0,38.7,0,0,29.964279,-81.490822,Residential,Wood,1
499205,FL,ST  JOHNS COUNTY,828,828,828,828,828,722.86,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
385962,FL,ST  JOHNS COUNTY,17919,17919,17919,17919,17919,22552.14,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
445381,FL,ST  JOHNS COUNTY,1062,1062,1062,1062,1062,1454.52,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
453104,FL,ST  JOHNS COUNTY,3681,3681,3681,3681,3681,4057.93,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
115845,FL,ST  JOHNS COUNTY,1377,1377,1377,1377,1377,1315.72,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
288494,FL,ST  JOHNS COUNTY,639,639,639,639,639,1177.52,0,0,0,0,29.964279,-81.490822,Residential,Wood,1
437659,FL,ST  JOHNS COUNTY,14373,14373,14373,14373,14373,16157.29,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
721230,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,92595.02,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
807857,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,109084.01,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
414917,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,94114.94,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
380114,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,93838.13,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
501405,FL,ST  JOHNS COUNTY,1377,1377,1377,1377,1377,1586.8,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
989701,FL,ST  JOHNS COUNTY,552555,552555,552555,552555,552555,505753.59,0,11051.1,0,0,30.04327,-81.56461,Residential,Masonry,4
779882,FL,ST  JOHNS COUNTY,2754,2754,2754,2754,2754,2724.39,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
891094,FL,ST  JOHNS COUNTY,13329,13329,13329,13329,13329,15109.75,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
918544,FL,ST  JOHNS COUNTY,180,180,180,180,180,233.55,0,3.6,0,0,30.04327,-81.56461,Residential,Wood,4
586838,FL,ST  JOHNS COUNTY,4495.5,4495.5,4495.5,4495.5,4495.5,5973.98,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
159854,FL,ST  JOHNS COUNTY,4495.5,4495.5,4495.5,4495.5,4495.5,5041.58,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
658231,FL,ST  JOHNS COUNTY,4495.5,4495.5,4495.5,4495.5,4495.5,6312.11,0,0,0,0,30.04327,-81.56461,Residential,Wood,4
508110,FL,ST  JOHNS COUNTY,21600000,21600000,21600000,21600000,21600000,17730000,0,432098.1,0,0,29.947031,-81.500549,Commercial,Reinforced Concrete,1
403228,FL,ST  JOHNS COUNTY,2205,2205,2205,2205,2205,1596.86,0,44.1,0,0,29.947031,-81.500549,Residential,Wood,1
594354,FL,ST  JOHNS COUNTY,3177,3177,3177,3177,3177,2960.79,0,0,0,0,29.947031,-81.500549,Residential,Wood,1
210518,FL,ST  JOHNS COUNTY,1539,1539,1539,1539,1539,1856.55,0,0,0,0,29.947031,-81.500549,Residential,Wood,1
766511,FL,ST  JOHNS COUNTY,45594,45594,45594,45594,45594,61670.26,0,0,0,0,29.947031,-81.500549,Residential,Wood,1
890294,FL,ST  JOHNS COUNTY,1701,1701,1701,1701,1701,1802.84,0,0,0,0,29.947031,-81.500549,Residential,Wood,1
213481,FL,ST  JOHNS COUNTY,7353,7353,7353,7353,7353,7033.47,0,0,0,0,29.947031,-81.500549,Residential,Wood,1
695462,FL,ST  JOHNS COUNTY,14580000,14580000,14580000,14580000,14580000,18810000,0,0,0,0,29.973524,-81.522011,Commercial,Reinforced Concrete,1
927116,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,121051.75,0,0,0,0,29.973524,-81.522011,Residential,Wood,1
924212,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,132836.93,0,0,0,0,29.973524,-81.522011,Residential,Wood,1
852064,FL,ST  JOHNS COUNTY,74331,74331,74331,74331,74331,103219.45,0,0,0,0,29.973524,-81.522011,Residential,Wood,1
