نام,gender,score
عائشہ,0,0
عائشہ,0,0
عائشہ,0,0
عائشہ,0,0
عابان,1,1
ارو,0,1
عابد,1,1
ابراہیم,1,0
ایریرایلا,0,1
اٹال,0,0
عدہ,0,0
آدم,1,1
آدم,1,1
مثالی,1,1
Aaden,1,0.998814604
آرڈر,1,1
عہد,1,1
عرف,1,1
ابرروسیا,1,1
عادی,1,1
ارادہ,0,1
ثانوی,1,1
عہا,0,1
مطالعہ,1,1
عادی,1,0.977961433
اڈانی,1,1
عادل,1,1
عادل,0,0
تم ہو,1,1
اتھوریا,1,1
ایڈیشن,0,1
عائشہ,1,1
عائشہ,1,1
انہوں نے کیا,1,1
Adadri,0,1
عائشہ,1,1
ایڈو,1,1
Aadolf,1,0
ایڈن,1,1
ایڈریان,1,1
بدسلوکی,0,1
ایرانی,1,1
ایڈوکی,1,1
وہ پہنچا,0,1
اس پر جاؤ,0,1
عدن,1,0.962962963
عائشہ,0,0
عائشہ,0,0
عابد,1,0
عافیہ,0,1
عافیہ,0,0
عافیہ,0,0
Aafje,0,0
ایریرن,0,1
Aafrin,0,0
افتاب,1,0
سکاؤٹ,1,0
ایامم,1,1
آگن,1,0
Aagat,1,1
Aage کی,1,0
آمد,1,1
Aagot,0,1
اوہ یہ,1,1
عہد,1,1
عائشہ,1,1
ریلیف,0,1
جی ہاں,1,1
احم,1,0
اہریر,1,1
وہ ایک بہادر ہے,0,1
جی ہاں,0,1
Aahron,1,1
تبلیغ,1,1
Aaiden,1,1
عیدین,1,1
ایلا,0,1
Iliyah,0,1
درست:,0,1
کل,0,1
کل,0,0
ایئر,0,1
ایراہ,0,1
عائشہ,0,1
عائشہ,0,1
یانا,0,1
اوہ,0,1
آنکھوں:,0,0
تو,0,1
آزاد,1,0
آجا,0,1
Aajaylah,0,1
ملازمین,1,0
Aajon,1,1
اککاشا,0,1
Aakar,1,0
Aakarsh,1,1
Aakas,1,0
عاشق,1,1
ابتداء,1,1
عاقب,1,0
میں راحت کروں گا,0,0
اسے لے لو,0,0
کھاؤ,0,1
اکرا,0,1
اکیاہ,0,1
آسٹریا,0,1
Aala,0,1
Aalaa,0,0
Aalaiya,0,1
اس سے,0,1
سلام,1,0
مولانا,0,1
آلہ,0,1
عالیانی,0,1
AALAP,1,1
الفیا,0,1
سلطنت,0,1
سلطنت,0,1
عالیج,0,1
آلنا,0,1
ڈاؤن لوڈ کریں,0,1
ایالیا,0,1
ایلیا,0,1
الیاہ,0,1
الیاہ,0,1
ایلیینا,0,1
ایلیے,0,1
الیاہ,0,1
الیاہ,0,1
Aaleigha,0,1
اس سے,0,1
Aalena,0,1
Aalse,0,1
Aalexus,0,1
Aaleya,0,1
الیاہ,0,1
وہ ہے,1,0
الفیا,0,1
Aaliyah میں,0,1
Aaliana,0,1
الیاس,1,1
عالیہ,0,1
Aaliyah میں,0,1
Aalicia,0,1
رشتہ دار,0,0
اس سے,0,1
Aalijah,1,0.591065292
AALIM,1,1
ٹھیک ہے,0,1
ہمارے لئے,0,1
ینین,0,1
چھوڑنا,0,0
Aalisa,0,1
شیطان,0,0
علیا,0,1
Aalivia,0,1
عالیہ,0,1
الیایہ,0,1
عالیہ,0,0
عالیہ,0,1
عالیہ لاؤ,0,0
عالیہ,0,0
المالیہاری,0,1
عالیہ مریم,0,0
الیایہروس,0,1
عالیہ گلاب,0,0
Aaliyan,0,1
Aaliyana,0,1
Aaliyanna,0,1
عالیہ,0,1
اییایاہ,0,1
عالیہ,0,1
االله,0,1
پیش کرتے ہیں,1,1
Aalon,1,1
میکانزم,0,1
الیاہ,0,1
الیاسیا,0,1
الفلاح,0,1
اٹلی,0,1
عالیہ,0,1
اسے حاصل کرو,0,1
ایلیسیا,0,1
Aalyssa,0,1
Aalyvia,0,1
بند کرو,0,0
ام,1,1
ان کا اعتماد,0,0
Aamanda,0,1
ارمانی,0,1
گمنانی,0,1
عامر,1,1
امام,1,0.555555556
آیرین,1,1
امیا,0,1
اال,0,1
آمینہ,0,1
محفوظ,0,0
ایمر,1,1
Aamia,0,1
امیل,1,1
آملہ,0,1
آمن,1,0
آمینہ,0,0
امینہہ,0,0
عامر,1,0
گائیڈ,0,1
عامر,0,1
امیا,0,1
عائشہ,0,1
نہیں,0,1
محفوظ,0,0
عامر,1,0
امونیم,0,1
اموریوں,0,1
چلیں,1,0
Aamrin,0,0
صبح,0,0
امیا,0,1
عائشہ,0,1
عانا,0,1
عابد,1,0
شکریہ,0,0
آنند,1,1
اعان,1,1
الوداع,0,1
اعلال,0,1
Aania,0,1
عینیہ,0,1
عیاہ,0,1
عینک,0,0
عینک,0,1
عان,1,0
Aanis,1,1
عیسیہ,0,1
سائن اپ,0,0
Aaniya,0,1
عینیہ,0,1
عینیہلا,0,1
اعان,1,1
آسیشی,0,1
اوہ، یہ ہے,0,0
چاچی,1,0
معذرت,0,0
Aanvi,0,1
عانا,0,1
عائشہ,0,1
آپ کی بیوی کے ساتھ,0,1
Aapeli,1,0
سے Aapo,1,0
آپ کا,0,1
عقیق,1,1
کامیابی,1,1
Aara,0,1
اربر,0,1
ابھی تک,0,1
عربی,0,0
عبادت,0,1
پیارا,1,1
پیارا,0,1
Aarae,0,0
اٹھائیں,1,1
ایرالین,0,1
ایرالین,0,1
آران,1,1
ایلن,0,0
طوفان,1,1
ارتی,0,0
آرٹراکا,0,1
ارارو,1,1
ایروی,0,1
لکھیں,0,1
آرہرن,0,0
Aare کی,3,0
ایرون,1,0.76744186
ایرونا,0,1
Aarez,1,1
عاری,0,0.642857143
آریا,0,1
اریا,0,1
ایرانی,1,0.649635036
اریرا,0,1
ایریننا,0,1
عیب,1,1
ایریک,1,1
ایریکا,0,1
Aick,1,1
Aary,0,1
ایریل,0,1
Aarielle,0,1
سب سے زیادہ انتہا,1,1
Aifif,0,0
عارفہ,0,0
میں جانتا ہوں,0,0
ایرون,0,0
ایرک,1,1
ایریکا,0,1
ایریکیت,1,1
Aarilyn,0,1
Aarilynn,0,1
مرکز,1,0.613071895
ایرانی,0,1
ایرون,1,0.76109215
ایرونیا,0,1
ایروننا,0,1
ایرس,0,0.53968254
ایشور,1,1
ارٹ,1,1
ایارو,1,1
آری,0,1
عائشہ,0,1
عیسی,1,1
ایرینا,0,1
آسٹریا,0,1
Aariyona,0,1
ایروننا,0,1
ایرز,1,1
ارجاو,1,1
ارجو,0,0
ارن,1,1
ارن,0,1
ارناو,1,1
Aarnavi,0,1
آرین,1,0
سے Aaro,1,1
اررو,1,1
ہارون,1,1
ہارون,0,1
Aarolyn,0,1
ہارون,1,0
ہارون,0,1
ایرونا,0,1
ایرونڈا,0,1
Aarondeep,1,1
Aaronette,0,1
Aaronisha,0,1
ہارونجاکوب,1,1
ہارونجیم,1,1
ہارون جیمز,1,1
ہارون جے,1,1
ہارونجٹ,1,1
ہارون یحیی,1,1
ہارون جان,1,1
ہارونجوسف,1,1
ہارونجوش,1,1
ہارونجسو,1,1
ہارونلی,1,1
ہارون لی,1,1
ہارون مایکل,1,1
Aaronn,1,1
ہارونویر,1,1
آرون,1,1
Aaroosh,1,1
ایران,1,1
آرین,1,1
ایرون,1,1
اوہ,1,1
ارشی,0,1
آرسنیا,0,1
آرٹ,1,0
ارٹی,0,0
آرٹی,0,0
اینڈریو,0,1
ہارون,1,1
آشیشی,1,1
آشیشی,0,1
آروی,0,1
Aarvin,1,1
Aarya,0,0.799716914
عائشہ,0,1
اورتٹا,0,1
ایران,1,0.994540491
آریانہ,0,1
Aaryanna,0,1
بے چینی,1,1
روشنی,1,1
ایرین,0,0.610169492
ایرون,1,1
Aaryona,0,1
ارزا,0,1
Azu,0,0
Azu,0,0
Azu,0,0
AAS,1,0
Aasa,0,0
Aaser,1,1
فرور,1,0
آشا,0,1
ہم رہتے تھے,0,1
ایشے,1,1
Aashdon,1,1
ساشی,0,1
ایشیا,0,1
ایشف,1,0
جزوی,1,0
احسا,0,1
وہ نہیں ہیں,0,1
مبارک ہو,1,1
رقم,0,1
Aashis,1,0
ایشش,1,1
Aashita,0,1
Aashiya,0,0
اشنا,0,1
Aashka,0,1
ایشما,0,0
ایشمان,1,1
آشنا,0,1
ایشنی,0,1
پناہ گاہ,1,1
اندرونی,0,1
ٹیپ,1,1
میں دس ہوں,0,1
Aashu,0,0
Aashvi,0,1
ایشیا,0,1
آصف,1,0
عاصم,1,1
گدھا,1,1
یہ ہوا ہے,1,1
خرابی,1,0
Aasia,0,1
عائشہ,0,1
آما,0,0
Aasmin,0,0
Aason,1,1
عسا,0,1
Aasto,1,0
Aaston,1,1
Aasu,0,0
Atam,1,0
آدم,1,0
آتنن,1,1
آٹھیں,1,1
آرتریہ,1,1
Attif,1,1
عائشہ,0,0
اٹھو,0,0
لاطینی امریکہ,0,0
Aatikun,0,0
ونٹیج,0,0
اسے سخت کرو,0,0
اتیر,1,0
عائشہ,1,1
سوچا,1,0
حوا,1,0
Aatu,1,0
Aava,0,0
Aavah,0,1
ضروری ہے,1,1
ایون,1,1
جذبہ,1,0
انتظار,1,1
Aavin,1,1
Aavion,1,1
انہوں نے کھایا,0,1
بچے,1,1
Aavyn,1,0.545454545
عیا,0,1
کہہ دو,1,1
نوح,0,1
طول و عرض,1,1
مہودی,1,1
آشنا,0,1
اس کی آنکھیں,0,1
Aayanna,0,1
کم از کم,1,1
آئتاکار,0,1
اڈا,1,1
اڈن,1,0.995805369
عدن,1,1
عائشہ,0,0
آلا,0,1
آلاہہ,0,1
عیاہ,0,1
آلی,0,0
ایرا,0,1
عائشہ,0,0
عمر,1,1
آشش,1,1
آشاہ,0,1
Ayushi,0,1
عائشہ,0,0
مفت,1,0
آزادی,0,0
عازان,1,1
عازین,0,0
عازم,1,1
ہٹا دیا گیا,0,1
سے,1,1
ابا,0,0.814814815
ابان,1,1
ابا,1,1
Abacuc,1,0
صدی,1,1
Abaddon,1,0
ابابیل,0,1
ابابیل,0,1
Abagaile,0,1
اباگل,0,1
Abagayle,0,1
ابیگل,0,1
ابیگیل,0,1
ابیگیلیل,0,1
ایبٹ,0,0
ایان,1,1
abanoub,1,1
دونوں,1,1
اباب,1,0
خدا,1,1
Abass,1,1
ابیومی,1,1
انجیر,1,1
اس میں,1,0.85
اببا,1,1
عبدا,1,1
سکاؤٹ,0,1
ایبگل,0,1
ابابیل,0,1
ابال,1,0
عباس,1,0
ابوبکر,1,1
ابی,1,0
ابی,0,1
اببیگل,0,1
Abbegale,0,1
اببیگلی,0,1
ابی,0,0
ابیگیل,0,1
ابیگلی,0,1
ابیگےیل,0,0
ابی leigh,0,0
ابی لاؤ,0,0
ہے,0,0
ابی,0,0
ابیب این,0,0
Abbiegail,0,1
ابی گیل,0,0
Abbiegale,0,1
Abbiegayle,0,1
ابی گلی,0,0
ابی فضل,0,0
ابی جی,0,0
ابی جیمز,0,0
ابی جے,0,0
ابی جو,0,0
ابی لوا,0,0
ابی لی,0,0
ابی لی,0,0
Abbieleigh,0,0
ابی,0,0
ابوبیلیلو,0,0
ابی لوائس,0,0
ابی,0,0
ابی مئی,0,0
ابی ہو سکتا ہے,0,0
ابی گلاب,0,0
ابیگیلیل,0,1
ابیگیل,0,0.999548166
ابیگیلائل,0,1
Abbigal,0,1
ابیگلی,0,1
Abbigayl,0,1
Abbigayle,0,1
ایک لہر ہے,0,0
ابی لاؤ,0,0
Abbilyn,0,1
ابی,0,0
ابیبی,0,0
ایبٹ,1,1
ایبٹ,1,0.973392461
کا اعلان کیا ہے,0,1
Abbriella,0,1
Abbrielle,0,1
ابی,0,0
ابی,0,1
اببیگا,0,1
ابیگیل,0,1
Abbygaile,0,1
Abbygale,0,1
اببیگیل,0,1
ابی,0,1
ابی leigh,0,0
Abbylynn,0,1
ابی,0,0
Abcde,0,1
عبدل,1,1
ابدال,1,1
عبداللہ,1,1
عبد اللہ,1,1
عبدالرحمن,1,1
عبدالخالق,1,1
عبداللہ,1,1
عبد اللہ,1,1
Abdalrahman,1,1
عبدالرحمن,1,1
برہمن,1,1
عبدل,1,1
عبدالعزیز,1,1
Abdelhadi,1,1
Abdelkader,1,1
عبدالکریم,1,1
عبدلکرم,1,1
عبداللہ,1,1
Abdelmalek,1,1
عبدالرحیم,1,1
عبدالرحمن,1,1
عبدالرحمن,1,1
عبدالرووف,1,1
عبدالرحمن,1,1
برہمن,1,1
کی Abderrahmane,1,1
ابدررحمان,1,1
کی Abderrahmane,1,1
عبدی,1,0.96124031
عبدالعزیز,1,0
عبدالیاسین,1,1
عبدالزیزیز,1,1
عبدیل,1,1
عبداللطیفہ,1,1
عبدالحفید,1,1
عبدالحکیم,1,1
عبدالحکین,1,1
عبدالحمید,1,1
عبدالکریم,1,1
عبدکارم,1,1
عبدکارین,1,1
عبدخالقق,1,1
عبدلادف,1,1
عبداللہ,1,1
عبداللہ,1,1
Abdimajid,1,1
Abdimajiid,1,1
Abdimalik,1,1
عبدالنیب,1,1
عبدالنصر,1,1
Avdiu,1,0
عبدالقدوس,1,1
میری تعریف,1,1
عبدالرحیم,1,1
عبدیرین,1,1
عبد الرحمان,1,1
عبد الرحمان,1,1
عبدیرشید,1,1
عبدالرحمان,1,1
عبدالرزاق,1,1
عبدالیرق,1,1
عبدالیرقک,1,1
عبدالسلام,1,1
عبدالسلام,1,1
عبدالسلام,1,1
عبدشاکر,1,1
عبد العاباب,1,1
عبدیوداہ,1,1
عبدیوالی,1,1
ابدو,1,1
عبد اللہ,1,0
عبدن,1,1
عبدالرحمن,1,1
Abdou,1,1
عبد اللہ,1,1
عبد,1,1
Abdoulaye,1,1
عبدلازیز,1,1
عبدالولی,1,1
عبداللہ,1,1
ابدررہمان,1,1
abdourahmane,1,1
Abdrahman,1,1
عبدل,1,1
ابو,1,1
تبدیل کریں,1,1
عبدالملکیک,1,1
عبد اللہ,1,1
Abduel,1,1
عبدل,1,0
عبدل,1,1
عبداللہ,1,1
عبداللہہ,1,1
عبد اللہ,1,0
عبد اللہ,1,1
عبدالاحد,1,1
عبد اللہ,1,1
عبدالعلی,1,1
عبدل نارم,1,1
عبدالرحیم,1,1
ابیالی,1,1
Azim,1,1
عبدالرازق,1,1
عبدالظاہر,1,1
عبدالزیزیز,1,1
عبدالعزیز,1,1
عبدالباسط,1,1
عبدالباری,1,1
عبدالباسط,1,1
عبدالبصص,1,1
شیڈول,1,1
عبداالله,1,1
عبدالفتاح,1,1
عبدالفازاز,1,1
عبد اللہ حدیث,1,1
عبدالہادی,1,1
عبدالوئی,1,1
عبدالحکیم,1,1
عبدالرحیم,1,1
Abdulhakim,1,1
عبدالحکیم,1,1
عبدالرحیم,1,1
عبدالحمید,1,1
عبدالحمید,1,1
عبدالحنان,1,1
